Clubs, MP,Yellow Cards, 2X Yellow Cards,Red Cards
Grêmio FBPA,"38","69","2","0"
CR Flamengo,"38","74","2","0"
SC Corinthians,"38","81","1","0"
Athletico Paranaense,"38","73","2","1"
São Paulo FC,"38","68","1","3"
Atlético Goianiense,"38","83","2","1"
Avaí FC ,"38","80","3","2"
Botafogo FR,"38","95","1","1"
SE Palmeiras,"38","84","0","4"
Sport Recife,"38","89","2","2"
Fluminense FC,"38","93","1","2"
Chapecoense,"38","100","2","0"
Santos FC,"38","94","3","1"
Cruzeiro EC,"38","85","1","4"
CR Vasco da Gama,"38","105","1","1"
Atlético Mineiro,"38","102","2","1"
EC Bahia,"38","90","4","3"
EC Vitória,"38","95","4","3"
Coritiba FC,"38","107","0","4"
AA Ponte Preta,"38","86","4","6"
